curve_level_data,,,,,,,,,,,,,,
plant_id,treatment,id,leaf_temp,Tleaf_mean,Tleaf_sd,Tleaf_min,Tleaf_max,Tk,obs_vcmax,obs_jmax,obs_Vcmax25,obs_Jmax25,n_Aci_points,Tleaf_range
106D,30,106D_20,20,26.837478,0.305603773,26.46861538,27.50859375,299.987478,137.8535123,168.0904648,112.3967215,155.1358044,97,1.039978365
106D,30,106D_25,25,28.2957193,0.06781523,28.16794375,28.4377,301.4457193,131.6860158,163.2490291,91.47026964,142.5055611,96,0.26975625
106D,30,106D_30,30,31.41930611,0.113691367,31.28656154,31.74105,304.5693061,165.5932735,159.5577892,82.02579138,128.224822,96,0.454488462
106D,30,106D_35,35,33.86177989,0.293349144,33.37383333,34.41049231,307.0117799,186.4706494,167.8782525,71.24998423,133.3660533,97,1.036658974
106D,30,106D_40,40,34.76023097,0.500180644,34.19146,35.91251538,307.910231,204.6650192,182.6892818,71.1540217,146.8657105,96,1.721055385
107D,30,107D_20,20,26.85964088,0.315289525,26.42668462,27.5198125,300.0096409,134.4137628,133.2264271,109.3243101,122.8473946,97,1.093127885
107D,30,107D_25,25,28.67731502,0.118143106,28.53818462,28.94948333,301.827315,116.5911869,132.1991035,77.67927004,113.8998755,97,0.411298718
107D,30,107D_40,40,34.92113051,0.392758409,34.47156923,35.65148667,308.0711305,589.8996822,177.2195378,201.6570655,142.921755,96,1.179917436
108D,30,108D_15,15,21.16846576,0.065907642,21.08676429,21.28955556,294.3184658,53.91841137,105.7830181,83.21124323,127.9047739,192,0.20279127
108D,30,108D_20,20,24.34886963,0.071120445,24.24599643,24.49819259,297.4988696,80.99339856,130.3786209,87.12274903,134.4115534,192,0.252196164
108D,30,108D_25,25,28.25862387,0.168189674,28.12352222,28.65111613,301.4086239,169.4875305,182.6369488,118.2061598,159.638718,192,0.527593907
108D,30,108D_30,30,31.05141442,0.046537186,30.98891481,31.11862222,304.2014144,175.846075,186.2858581,90.61028384,150.6643577,192,0.129707407
108D,30,108D_35,35,34.00499902,0.166549811,33.75757,34.34267143,307.154999,170.6703633,159.645977,64.23588434,126.9845138,192,0.585101429
108D,30,108D_40,40,36.51939974,0.059780614,36.36582258,36.60108148,309.6693997,312.7484891,269.1449643,90.51615669,228.2565458,192,0.235258901
10D,37,10D_35,35,33.5239,0.320981205,33.07868667,34.12451538,306.6739,102.9439985,84.11806791,40.76273295,66.69034862,96,1.045828718
10D,37,10D_40,40,35.45949207,0.138551386,35.28629231,35.77525385,308.6094921,181.1002337,115.0301264,58.52152134,93.98836318,96,0.488961538
11D,37,11D_15,15,19.90725271,0.048888725,19.85478214,20.01218387,293.0572527,39.08853772,84.80965188,69.75929326,109.6296155,96,0.157401728
11D,37,11D_30,30,29.4454147,0.171164456,29.27542857,29.78893667,302.5954147,128.758154,148.7569512,78.90744623,125.108003,96,0.513508095
11D,37,11D_35,35,32.03005082,0.106046477,31.94013214,32.25399677,305.1800508,163.2651116,164.659564,75.76048432,131.2475969,96,0.313864631
13D,37,13D_15,15,21.3783738,0.272173546,21.14373077,21.93873125,294.5283738,76.44589048,119.2560975,115.1723669,142.6244431,96,0.795000481
13D,37,13D_20,20,24.13202253,0.043739148,24.07463846,24.21783077,297.2820225,97.17371195,159.748712,107.1057142,166.4022163,96,0.143192308
13D,37,13D_30,30,30.21645369,0.205475744,30.02204667,30.75731538,303.3664537,224.9289441,270.2340236,126.8055854,222.576826,98,0.735268718
13D,37,13D_35,35,32.31395592,0.166311264,32.15205385,32.71780769,305.4639559,246.8833432,270.9765101,111.1468954,215.4110375,96,0.565753846
13D,37,13D_40,40,35.85046274,0.136803355,35.69205385,36.05870769,309.0004627,373.612411,302.2515662,115.9106467,249.9241034,96,0.366653846
14D,37,14D_20,20,22.49221422,0.12355066,22.25243226,22.64677407,295.6422142,63.0605587,96.83042317,83.66523822,109.3637951,96,0.394341816
14D,37,14D_25,25,25.81437219,0.023478188,25.78259286,25.85681429,298.9643722,138.4352322,199.9304575,126.4200892,192.7255134,96,0.074221429
14D,37,14D_30,30,29.19509937,0.175221243,28.97008148,29.55202667,302.3450994,179.574413,232.2930195,113.0826483,196.8395705,96,0.581945185
14D,37,14D_35,35,32.15300041,0.08282411,32.03701852,32.28166667,305.3030004,251.6989451,280.8980406,115.2751283,223.6187624,96,0.244648148
14D,37,14D_40,40,35.09724829,0.056811051,35.00236207,35.18657037,308.2472483,251.0605979,244.1279408,84.25771091,197.6421062,96,0.184208301
15D,37,15D_25,25,27.02654141,0.232187851,26.73332308,27.37370769,300.1765414,152.3634121,180.9939638,121.6620621,165.7679435,96,0.640384615
15D,37,15D_30,30,30.51089194,0.32858267,30.2036,31.161775,303.6608919,221.4104456,198.464487,120.9196204,162.32751,96,0.958175
15D,37,15D_35,35,31.57337011,0.251107799,31.2904,32.14571538,304.7233701,191.9754406,197.1479264,93.53822356,158.0602082,96,0.855315385
15D,37,15D_40,40,34.57597637,0.238839077,34.33359231,35.11822308,307.7259764,280.3342458,213.5340918,99.36296426,171.1075744,96,0.784630769
16D,37,16D_20,20,23.90846494,0.333942037,23.56241111,24.65967,297.0584649,122.6621931,154.4195312,138.6436917,162.5908232,96,1.097258889
16D,37,16D_25,25,26.55808122,0.027252596,26.52928519,26.65672222,299.7080812,129.4659773,176.2938252,108.8687316,164.5985173,96,0.127437037
16D,37,16D_30,30,29.76889057,0.037786479,29.7191,29.86535,302.9188906,212.0323744,222.9962097,125.4627536,185.8277511,96,0.14625
16D,37,16D_35,35,33.06274188,0.084773082,32.949725,33.27492143,306.2127419,230.6838156,237.4808607,95.91210695,188.1395125,288,0.325196429
16D,37,16D_40,40,35.94177566,0.096775778,35.83698889,36.11231786,309.0917757,306.6140075,264.1821463,94.22536565,219.1207066,288,0.275328968
17D,37,17D_15,15,22.45624862,0.067333732,22.34650769,22.6001875,295.6062486,81.77154803,132.775702,108.9345323,150.2351849,192,0.253679808
17D,37,17D_20,20,24.96515206,0.094672766,24.83031333,25.17135385,298.1151521,105.3136628,148.164021,105.7247833,148.4022618,96,0.341040513
17D,37,17D_25,25,27.49208148,0.164065287,27.30794615,27.8236875,300.6420815,156.4115925,199.3580337,118.653311,179.2670134,96,0.515741346
17D,37,17D_30,30,29.71318307,0.153837375,29.53990769,30.0154,302.8631831,195.8396502,229.7230695,116.5826406,191.7284865,96,0.475492308
