vcmax_tempresp_fits,,,,,,,,,,
plant_id,n_points,growth_period (days),Rack,Airtemp,airtemp_factor,Nfert,a,b,c,Topt
73D,4,35,top,30,Medium,0,1.850863049,0.100573139,-0.000148995,337.5043352
74D,6,35,top,30,Medium,35,0.631456894,0.202153477,-0.001949137,51.85716859
75D,6,35,top,30,Medium,70,2.266167735,0.112645548,-0.000521346,108.0332948
76D,6,35,top,30,Medium,105,1.653458749,0.144456313,-0.000933086,77.40783348
77D,5,35,top,30,Medium,140,3.884557709,0.007735568,0.001352241,-2.860276956
78D,6,35,top,30,Medium,210,1.674097234,0.153899775,-0.001049811,73.29882279
79D,5,35,top,30,Medium,280,0.237879936,0.263933714,-0.002892045,45.63098924
80D,6,35,top,30,Medium,350,-0.679507053,0.357903189,-0.004772741,37.49450815
81D,6,35,top,30,Medium,630,1.924965075,0.121350362,-0.000473931,128.0253543
82D,6,35,top,30,Medium,0,1.581399547,0.132832792,-0.000838728,79.18700985
83D,6,35,top,30,Medium,35,2.103583963,0.136313811,-0.001021747,66.70622721
84D,4,35,top,30,Medium,70,3.600482596,0.047328015,0.000474667,-49.85394704
86D,6,35,top,30,Medium,140,1.119731951,0.173803396,-0.001288577,67.44007225
87D,6,35,top,30,Medium,210,4.628675422,-0.031609542,0.001722491,9.175529214
88D,4,35,top,30,Medium,280,-1.007719257,0.324302562,-0.004071466,39.82626455
89D,5,35,top,30,Medium,350,1.180058255,0.203438627,-0.002376946,42.79411731
90D,7,35,top,30,Medium,630,1.444795721,0.170449263,-0.001623137,52.50611224
91D,3,35,down,30,Medium,0,-0.389320331,0.262897558,-0.003258601,40.33902734
92D,6,35,down,30,Medium,35,1.470567376,0.162029684,-0.001324152,61.18242593
93D,6,35,down,30,Medium,70,-1.781141648,0.319241175,-0.003140147,50.83220027
95D,6,35,down,30,Medium,140,7.068586335,-0.183042439,0.003847809,23.78528017
97D,3,35,down,30,Medium,280,8.982146388,-0.378171668,0.008030664,23.54548008
98D,6,35,down,30,Medium,350,0.897521519,0.23323748,-0.003099743,37.62207291
99D,6,35,down,30,Medium,630,3.65443868,0.013851072,0.00122939,-5.633309823
